CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
SoftwareCodeReview,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareCodeReview,author,AGENT,,AGENT(s) putting items up for review
SoftwareCodeReview,governedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT or SPECIFICATION) used for performing the review
SoftwareCodeReview,reviewed,ENTITY,,ENTITY(s) being reviewed
SoftwareCodeReview,reviewer,AGENT,,AGENT(s) performing the review
SoftwareCodeReviewArtifacts,,,,
SoftwareCodeReviewArtifacts,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareCodeReviewArtifacts,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareCodeReviewArtifacts,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareCodeReviewArtifacts,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareCodeReviewArtifacts,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareCodeReviewArtifacts,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareCodeReviewArtifacts,title,string,,"A short, human-readable identifying label."
SoftwareCodeReviewArtifacts,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareCodeReviewArtifacts,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareCodeReviewArtifacts,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareCodeReviewArtifacts,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareCodeReviewArtifacts,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareCodeReviewArtifacts,createBy,ACTIVITY,,ACTIVITY(s) (e.g. REVIEW) that created this log
SoftwareCodeReviewArtifacts,reviewResult,REVIEW_STATE,,Review status descriptor
SoftwareCodeReviewArtifacts,reviews,ENTITY,,The subject being reviewed
SoftwareCoding,,,,
SoftwareCoding,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareCoding,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareCoding,endedAtTime,dateTime,,The time an activity was ended
SoftwareCoding,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareCoding,startedAtTime,dateTime,,The time an activity was started
SoftwareCoding,title,string,,"A short, human-readable identifying label."
SoftwareCoding,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SoftwareCoding,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SoftwareCoding,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareCoding,author,AGENT,,AGENT(s) who participated in this ACTIVITY
SoftwareCoding,governedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that gave rise to this ACTIVITY
SoftwareCoding,referenced,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that were referenced during this ACTIVITY
SoftwareComponentTest,,,,
SoftwareComponentTest,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareComponentTest,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareComponentTest,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareComponentTest,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareComponentTest,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareComponentTest,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareComponentTest,title,string,,"A short, human-readable identifying label."
SoftwareComponentTest,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareComponentTest,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareComponentTest,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareComponentTest,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareComponentTest,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareComponentTest,producedBy,ACTIVITY,,TEST_DEVELOPMENT activity(s) this test belongs to
SoftwareComponentTest,verifies,ENTITY,,Parent ENTITY(s) (e.g. REQUIREMENT) that this requirement is derived from
SoftwareComponentTestExecution,,,,
SoftwareComponentTestExecution,cpuTime,double,,seconds of CPU time used when executing the test execution
SoftwareComponentTestExecution,memory,double,,maximum bytes of resident memory used by test execution
SoftwareComponentTestExecution,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareComponentTestExecution,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareComponentTestExecution,endedAtTime,dateTime,,The time an activity was ended
SoftwareComponentTestExecution,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareComponentTestExecution,startedAtTime,dateTime,,The time an activity was started
SoftwareComponentTestExecution,title,string,,"A short, human-readable identifying label."
SoftwareComponentTestExecution,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SoftwareComponentTestExecution,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SoftwareComponentTestExecution,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareComponentTestExecution,executedOn,AGENT,,
SoftwareComponentTestResult,,,,
SoftwareComponentTestResult,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareComponentTestResult,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareComponentTestResult,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareComponentTestResult,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareComponentTestResult,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareComponentTestResult,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareComponentTestResult,title,string,,"A short, human-readable identifying label."
SoftwareComponentTestResult,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareComponentTestResult,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareComponentTestResult,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareComponentTestResult,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareComponentTestResult,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareComponentTestResult,confirms,TEST,,Parent test(s) of this test result
SoftwareComponentTestResult,executedBy,ACTIVITY,,ACTIVITY(s) that created this test result
SoftwareComponentTestResult,result,TEST_STATUS,,Pass/Failed/Indeterminate status resulting from a TEST_EXECUTION
SoftwareDesign,,,,
SoftwareDesign,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareDesign,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareDesign,endedAtTime,dateTime,,The time an activity was ended
SoftwareDesign,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareDesign,startedAtTime,dateTime,,The time an activity was started
SoftwareDesign,title,string,,"A short, human-readable identifying label."
SoftwareDesign,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SoftwareDesign,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SoftwareDesign,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareDesign,author,AGENT,,AGENT(s) responsible for producing a REQUIREMENT
SoftwareDesign,governedBy,ENTITY,,"ENTITY(s) (e.g. REQUIREMENTS, any sort of document) used during this ACTIVITY"
SoftwareDesign,referenced,ENTITY,,Source materials (requirement and design docs) used during development
SoftwareDesignReview,,,,
SoftwareDesignReview,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareDesignReview,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareDesignReview,endedAtTime,dateTime,,The time an activity was ended
SoftwareDesignReview,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareDesignReview,startedAtTime,dateTime,,The time an activity was started
SoftwareDesignReview,title,string,,"A short, human-readable identifying label."
SoftwareDesignReview,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SoftwareDesignReview,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SoftwareDesignReview,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareDesignReview,author,AGENT,,AGENT(s) putting items up for review
SoftwareDesignReview,governedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT or SPECIFICATION) used for performing the review
SoftwareDesignReview,reviewed,ENTITY,,ENTITY(s) being reviewed
SoftwareDesignReview,reviewer,AGENT,,AGENT(s) performing the review
SoftwareDesignReviewArtifacts,,,,
SoftwareDesignReviewArtifacts,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareDesignReviewArtifacts,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareDesignReviewArtifacts,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareDesignReviewArtifacts,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareDesignReviewArtifacts,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareDesignReviewArtifacts,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareDesignReviewArtifacts,title,string,,"A short, human-readable identifying label."
SoftwareDesignReviewArtifacts,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareDesignReviewArtifacts,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareDesignReviewArtifacts,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareDesignReviewArtifacts,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareDesignReviewArtifacts,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareDesignReviewArtifacts,createBy,ACTIVITY,,ACTIVITY(s) (e.g. REVIEW) that created this log
SoftwareDesignReviewArtifacts,reviewResult,REVIEW_STATE,,Review status descriptor
SoftwareDesignReviewArtifacts,reviews,ENTITY,,The subject being reviewed
SoftwareIntegration,,,,
SoftwareIntegration,compileWithOptimizations,boolean,,
SoftwareIntegration,linkerPath,string,,
SoftwareIntegration,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareIntegration,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareIntegration,endedAtTime,dateTime,,The time an activity was ended
SoftwareIntegration,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareIntegration,startedAtTime,dateTime,,The time an activity was started
SoftwareIntegration,title,string,,"A short, human-readable identifying label."
SoftwareIntegration,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SoftwareIntegration,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SoftwareIntegration,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareIntegration,compileInput,FILE,,Source files that contributed to the compilation
SoftwareIntegration,compiledBy,TOOL,,The tool that performed the compilation
SoftwareIntegration,performedBy (SHARED PROPERTY),AGENT,,AGENT(s) (e.g. PACKAGER) performing the packaging ; AGENT(s) (e.g. COMPILER) performing the compilation ; AGENT(s) (e.g. CODE_GENERATOR) generating the code (SHARED PROPERTY)
SoftwareModule,,,,
SoftwareModule,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareModule,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareModule,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareModule,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareModule,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareModule,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareModule,title,string,,"A short, human-readable identifying label."
SoftwareModule,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareModule,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareModule,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareModule,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareModule,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareModule,function,FUNCTION,,functionality / capability of a SYSTEM
SoftwareModule,partOf,SYSTEM,,Used to define a relationship to a higher level system
SoftwareModule,producedBy,ACTIVITY,,ACTIVITY(s) participating in developing this SYSTEM
SoftwareModule,provides,FUNCTION,,List of entities that this SYSTEM provides to others
SoftwareModule,requires,FUNCTION,,List of entities that this SYSTEM requires from others
SoftwareRequirementReviewArtifacts,,,,
SoftwareRequirementReviewArtifacts,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareRequirementReviewArtifacts,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareRequirementReviewArtifacts,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareRequirementReviewArtifacts,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareRequirementReviewArtifacts,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareRequirementReviewArtifacts,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareRequirementReviewArtifacts,title,string,,"A short, human-readable identifying label."
SoftwareRequirementReviewArtifacts,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareRequirementReviewArtifacts,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareRequirementReviewArtifacts,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareRequirementReviewArtifacts,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareRequirementReviewArtifacts,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareRequirementReviewArtifacts,createBy,ACTIVITY,,ACTIVITY(s) (e.g. REVIEW) that created this log
SoftwareRequirementReviewArtifacts,reviewResult,REVIEW_STATE,,Review status descriptor
SoftwareRequirementReviewArtifacts,reviews,ENTITY,,The subject being reviewed
SoftwareRequirementsDefinition,,,,
SoftwareRequirementsDefinition,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareRequirementsDefinition,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareRequirementsDefinition,endedAtTime,dateTime,,The time an activity was ended
SoftwareRequirementsDefinition,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareRequirementsDefinition,startedAtTime,dateTime,,The time an activity was started
SoftwareRequirementsDefinition,title,string,,"A short, human-readable identifying label."
SoftwareRequirementsDefinition,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SoftwareRequirementsDefinition,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SoftwareRequirementsDefinition,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareRequirementsDefinition,author,AGENT,,AGENT(s) responsible for producing a REQUIREMENT
SoftwareRequirementsDefinition,governedBy,ENTITY,,"ENTITY(s) (e.g. REQUIREMENTS, any sort of document) used during this ACTIVITY"
SoftwareRequirementsDefinition,referenced,ENTITY,,Source materials (requirement and design docs) used during development
SoftwareRequirementsReview,,,,
SoftwareRequirementsReview,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareRequirementsReview,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareRequirementsReview,endedAtTime,dateTime,,The time an activity was ended
SoftwareRequirementsReview,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareRequirementsReview,startedAtTime,dateTime,,The time an activity was started
SoftwareRequirementsReview,title,string,,"A short, human-readable identifying label."
SoftwareRequirementsReview,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SoftwareRequirementsReview,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SoftwareRequirementsReview,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareRequirementsReview,author,AGENT,,AGENT(s) putting items up for review
SoftwareRequirementsReview,governedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT or SPECIFICATION) used for performing the review
SoftwareRequirementsReview,reviewed,ENTITY,,ENTITY(s) being reviewed
SoftwareRequirementsReview,reviewer,AGENT,,AGENT(s) performing the review
SoftwareThread,,,,
SoftwareThread,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareThread,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareThread,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareThread,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareThread,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareThread,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareThread,title,string,,"A short, human-readable identifying label."
SoftwareThread,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareThread,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareThread,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareThread,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareThread,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareThread,function,FUNCTION,,functionality / capability of a SYSTEM
SoftwareThread,partOf,SYSTEM,,Used to define a relationship to a higher level system
SoftwareThread,producedBy,ACTIVITY,,ACTIVITY(s) participating in developing this SYSTEM
SoftwareThread,provides,FUNCTION,,List of entities that this SYSTEM provides to others
SoftwareThread,requires,FUNCTION,,List of entities that this SYSTEM requires from others
SoftwareUnitTest,,,,
SoftwareUnitTest,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareUnitTest,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareUnitTest,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareUnitTest,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareUnitTest,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareUnitTest,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareUnitTest,title,string,,"A short, human-readable identifying label."
SoftwareUnitTest,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareUnitTest,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareUnitTest,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareUnitTest,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareUnitTest,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareUnitTest,producedBy,ACTIVITY,,TEST_DEVELOPMENT activity(s) this test belongs to
SoftwareUnitTest,verifies,ENTITY,,Parent ENTITY(s) (e.g. REQUIREMENT) that this requirement is derived from
SoftwareUnitTestExecution,,,,
SoftwareUnitTestExecution,cpuTime,double,,seconds of CPU time used when executing the test execution
SoftwareUnitTestExecution,memory,double,,maximum bytes of resident memory used by test execution
SoftwareUnitTestExecution,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareUnitTestExecution,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareUnitTestExecution,endedAtTime,dateTime,,The time an activity was ended
SoftwareUnitTestExecution,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareUnitTestExecution,startedAtTime,dateTime,,The time an activity was started
SoftwareUnitTestExecution,title,string,,"A short, human-readable identifying label."
SoftwareUnitTestExecution,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SoftwareUnitTestExecution,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SoftwareUnitTestExecution,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SoftwareUnitTestExecution,executedOn,AGENT,,
SoftwareUnitTestResult,,,,
SoftwareUnitTestResult,definedIn,FILE,,The file an ENTITY is defined or contained in
SoftwareUnitTestResult,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SoftwareUnitTestResult,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SoftwareUnitTestResult,generatedAtTime,dateTime,,The time this entity was created and available for use
SoftwareUnitTestResult,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SoftwareUnitTestResult,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SoftwareUnitTestResult,title,string,,"A short, human-readable identifying label."
SoftwareUnitTestResult,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SoftwareUnitTestResult,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SoftwareUnitTestResult,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SoftwareUnitTestResult,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SoftwareUnitTestResult,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SoftwareUnitTestResult,confirms,TEST,,Parent test(s) of this test result
SoftwareUnitTestResult,executedBy,ACTIVITY,,ACTIVITY(s) that created this test result
SoftwareUnitTestResult,result,TEST_STATUS,,Pass/Failed/Indeterminate status resulting from a TEST_EXECUTION
SourceCode,,,,
SourceCode,createBy,FILE_CREATION,,FILE_CREATION ACTIVITY that created this file
SourceCode,definedIn,FILE,,The file an ENTITY is defined or contained in
SourceCode,fileFormat,FORMAT,,The byte-level encoding of a file
SourceCode,fileHash,FILE_HASH,,Hash of the file contents
SourceCode,filename,string,,A logical file path relative to the container of the file.
SourceCode,satisfies,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that this code file participates in satisfying
SourceCode,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SourceCode,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SourceCode,generatedAtTime,dateTime,,The time this entity was created and available for use
SourceCode,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SourceCode,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SourceCode,title,string,,"A short, human-readable identifying label."
SourceCode,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SourceCode,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SourceCode,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SourceCode,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SourceCode,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SourceConfigurationManagement,,,,
SourceConfigurationManagement,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SourceConfigurationManagement,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SourceConfigurationManagement,endedAtTime,dateTime,,The time an activity was ended
